payment,chain,status
eed479cb554a29434822194d8642bd88,Z,Failed
38576d63804d73c2c44c894f917ce1de,Z,Failed
7f18f57a6c6f3a6af256127dcd6ffe6b,2,Captured
f29400d6dcb56c0a9da67a0df2d361bb,Z,Failed
882894f63632aa04aab2a02f22b6c969,Z,Failed
ffd8a0d0ab10ff65a0b82ca31df4bc4b,Z,Failed
fcbfec4f5d6c089af94eee851fe0eddb,9,Captured
c4a52dd4bd73e2455e4119cd956d3ce1,9,Captured
15e8e1da57583ae0bcf8313cf503c64e,9,Captured
9895729a23a0f334c5e577a69f8607fa,2,Captured
97cab4426194f46e60df53f195a44750,2,Captured
94e44803d3ed174df0c0464398d1ac01,Z,Failed
ac6113ba9368e9b38830c6fe29d4cd86,Z,Failed
55f2c2505117b83489d67073038b74b0,2,Captured
b9b5a5fc0891301ea934a5d76abbb3b3,2,Captured
c95604cd1aa3b9f659419ec0367289a6,2,Captured
272703a8f06564b17e4eea5b428970f7,Z,Failed
17ed2e9fc0a877345bcaa9fe3cc3f833,Z,Failed
b0eef786a170bc35d0c321217f5ceb72,2,Captured
3fba04d62869658ede07554cc8fec5f2,Z,Failed
d6158e84e90540fbc059ed2efb0447b1,0,Captured
3caf708e32b16a5445d7441259538669,2,Captured
dde39ff113f053e1feb97b57a50c2ff0,2,Captured
1ce911c7c617c71ff63df6dd2fe9fa60,1,Captured
237cb2f5b61b3671646662de7d403641,2,Captured
f6c7be32f56d14b035273a270131aadd,9,Captured
9c759c12235b216523cff1c7155b0370,Z,Failed
ace293e805e16229051357f984763140,Z,Failed
82e13df1c8f087f64d583e096a7b125f,Z,Failed
fb0a0c608721a0fd4d6122774bff1154,1,Captured
c8da46c52dba32046475596478daa6f6,2,Captured
74aedc74d99f5b73f9634eaf0bd79379,Z,Failed
d3928a538b2999d6ab8287b47041229b,Z,Failed
52a451016f25aaf9e1df0c9e2ce890d3,2,Captured
e5f27af8da01d8c62c8e44af7cdd1dde,1,Captured
70a63a9d7d8eeb0f0deaa84e6b8cd5da,2,Captured
4ca6cc71949137121a111ab7de1798fb,Z,Failed
7f929415f72671ba67400e98f514800d,2,Captured
b12f290dec9f55992acb2e0b9361aa1f,0,Captured
d5396b9ae3d75dfcfd92a457cab5e310,14,Captured
562f773129ad7e5c55a14333956859f1,Z,Failed
406ac872b463b113a5e6a3ffd9e15784,Z,Failed
7cdaa869935c47edc73045bea1dcf028,2,Captured
1e753a69dbbe2d8f68f2966af6ef292f,9,Captured
cb388fbe805de1725ad7046e3e520406,Z,Failed
6f59cd4a279c09650b371e29a218939c,Z,Failed
c15e3b961d3fe78cb26115a5c0596004,Z,Failed
8233eace45d523031be0850a13d87e13,2,Captured
5058b2052edf38bd1185764bdaaae3f2,2,Captured
c9723f6f6726ff3bade0459f57babdda,0,Captured
537e236e24ec360043f65fdcc1af7243,1,Captured
3cdce737c1c0e0633f4532a32e9c3e7f,1,Captured
511608e1919c01e6275cbb1d19bda857,Z,Failed
083c50227cb22f59c7fca2b1428d34b7,Z,Failed
a908bf3f555a51e19eb6e5c52eb7d942,Z,Failed
4a106da5686eb9bc4cade3a33cfb7c75,Z,Failed
a20b5c2be8d680cd3bc19de7142a50b1,11,Captured
18d8916beb6870a8b212dc87eb16584f,0,Captured
f4fa17f550b364f03b35a9ef2df473a3,Z,Failed
ecb5cde2f4ff362997149faa8a00ae3e,Z,Failed
1ed5b0f2ea32d604586fe15a6689192f,2,Captured
f09b2effcc241f3ddcf8db6cc0b7aedc,Z,Failed
43bcfd383c00ecb90c72b41d132d0b99,Z,Failed
b4db9e4a9d6639ab6e5b9e6ccde2a7fc,2,Captured
b7a7ee6d7b0af12a8b01c2fd5a982e3e,Z,Failed
1f9dba9ce2c458c28850324336843a0f,Z,Failed
9a31651d6b4112b6bfaa838603877945,1,Captured
c9e55a4f1e5466e06e57db3bb932f150,Z,Failed
e6209cdcc34020b4fa8722399890e606,Z,Failed
e6b38e006b61df677290e0275ffb9478,Z,Failed
3650aa699fd3d8c0e2cda37f7cc2a360,3,Captured
59b4ba25f9e15dd54286702ad7a3ae91,Z,Failed
095049f6e6700ebc0ab1d39b7a14bbb3,9,Captured
6f0b6e2e513cd193650837632c066797,Z,Failed
d8d6e4b3183c1e41dde869eb5a0c27b8,Z,Failed
f02e835247fdde510c2917218b625ace,1,Captured
5af2ec9512c084fc9c42396bb58790bb,Z,Failed
95b4ee3283b16ded6d7b4d2da337427f,8,Captured
1841fc3416e689f17be6e7d0eb35fc18,Z,Failed
0a35df4fcc62715c9d2aa78a25c2d249,2,Captured
974bf3b9b62318ec49b77eb810507939,2,Captured
feeb52cfd06d74cd0705284665e5b4d4,Z,Failed
0b2bd3d71215c42c0d7dd6caf023a093,1,Captured
48796340e526042590281203d00f53d9,2,Captured
91f3de77f8b21cf88ab1513bf9e20241,2,Captured
79f77dd6cd9abf65de6a031d22575f4a,Z,Failed
0b6e19b037612e304498d55e53fe601f,Z,Failed
7d074470ede66607fca901f7c7faa201,Z,Failed
9c98f38a3ffa3016a1eb68beab07117f,2,Captured
4c984a6313f2fbaff205c56c5951e03a,Z,Failed
786aa12a76f3bb5a84fd249d01ec72ce,8,Captured
f04a96fc52f541f9bf730bcb05b39050,Z,Failed
882527204750fc8959563d00467d34c3,Z,Failed
b387c61108a1ceaa5a438b54f62acc19,Z,Failed
ccaaa6f82ff0f7d1823f28662deb32d5,2,Captured
ed1fb82e7af1dc51f99b5fa8a7b1446a,Z,Failed
6c205b45e03884168ddc4ff2de6ffabf,Z,Failed
8977a359408e6d1ed8476a5913163b0b,Z,Failed
5d207920ca5afe3a6b5340a4313312da,Z,Failed
f3597db9f5f31aed6b2e982cb8634505,8,Captured
590c44077cf4de869a49921018296bf2,1,Captured
0d0ecb816d57359f11a7714d8f9f7bb2,1,Captured
bdfffaaafa751d4c05d885871675807c,9,Captured
bca55efccaeb8d5e14bf389ce14b7b15,9,Captured
3e1289eb4340977cf78858e7a8d2041a,Z,Failed
ab04473661e135c3582db3a81220ea53,Z,Failed
0759d5da6f980192a44885a38739c444,1,Captured
e1926ebd6af1217cdb42c36e85d65481,Z,Failed
4b548e399eba18bd6b5b06569655a0f9,0,Captured
b58c4af73634e7bee97aa216bf679496,Z,Failed
90ebd9b2efee0bbc36c09c78b7ef6982,2,Captured
fc698fb035a04a640d3e519f00a093c5,2,Captured
2d27f0e3a19113a046b1bb8ee586e82c,Z,Failed
992b02be598a212fa490b1e4c8d8204a,12,Captured
a8aa97bd0ba18150cdc289e1282cd516,3,Captured
8209911f848420cdf7d7e7a58c1ed5b9,2,Captured
8ba3af5f7c0d2e3b9aa114eb9cccb51b,Z,Failed
7103ba62e005c2f029c3609522fa788f,11,Captured
823dd15b42a04b3b6d86d763bca269b7,2,Captured
1c657c97cda63fc22ac96a62d20f0d6f,2,Captured
8b8fbe11595f7ca326fe15901388e6a0,Z,Failed
b9b5a55147a054a79ce45cd5d6934cd2,Z,Failed
c5611365adf16793506892f1bf57a599,1,Captured
5049918c1ae6acbdfe2639f15c1969f0,Z,Failed
8d21c4002876bccee924ba24743047c3,2,Captured
3a0eb650bfbdd8a2ddc33c01e29b5b8d,2,Captured
dec9a7c981c583dfa56ae384d10178c2,Z,Failed
1e33b795a378adeb758597a8514283cb,Z,Failed
c794e58b0eca1564d133df23a6b56084,Z,Failed
0675d9dbcc9d9b0ff2b4043d57cd200c,2,Captured
78de67884e5678b73475e5007ba52ba1,2,Captured
a41907ffed00172fbbe552cbdd5bf907,1,Captured
3437a8427d023d3ac90f91069bfd9ba8,Z,Failed
1391f192c863051bcc43a053ffc15d55,16,Captured
e8251ae61e3ddfce1b5ba22c5fca1a14,Z,Failed
9a48182e739949e62cb0f643903c3c60,Z,Failed
4707722e24095f214f527fe8d2d5db93,0,Captured
65784b7ea171083b637a6ca04e379589,1,Captured
50bc6a925b1b563c97e59a480e188c51,Z,Failed
092fc16db5a19ec3394f16c6495ae36b,Z,Failed
ea19721233cd59cd15f440cebe8224c6,Z,Failed
b65248b4d4e2f97506494773bcfbff0b,Z,Failed
625819fbf95523e605cdd5b1ce1d21e2,1,Captured
9f24ff64c805d5312fd264c55298d938,Z,Failed
970d88df3eabded79f0bb95a16fcf9dd,2,Captured
063b1b27b6e8d1afd5ce6e1ae5c77758,2,Captured
b24bcd760d66e72d1350eb1eb4335344,Z,Failed
211f99fe120f7e5dbf339fa85256077d,2,Captured
cfac5bbb9f5ce749b7c656d0743f370e,Z,Failed
788d3eab934811eb5b7f7bfcd3b947bc,2,Captured
5a117529d887b97bdec96e42cf214f20,1,Captured
18096f25c2c3e9f959d4e71394484557,2,Captured
b648aa9671e0e1485219da6c1f67b8ff,Z,Failed
552038d4d8252c068068c5b57ae73753,Z,Failed
7fa5986fc8a70521d6f373fca841f8fa,Z,Failed
e361a6f2b885dab612e025157f7019ae,Z,Failed
9d231300af40752d556987efcd9b0c90,Z,Failed
b17f4612fd477738b34ade0c0b1dab9a,0,Captured
816a55d64f97b678240fbf00967e50b6,1,Captured
f2b159b0712b992e0b86047614c218af,Z,Failed
9526a19219e5c932603d7b4ea288d7d8,Z,Failed
9a1499be26e214f9e03b34623630d483,Z,Failed
bcd48a353b9bfbf525a10544826eac0b,Z,Failed
d905b96d32609ca3f751dab9a372f220,Z,Failed
eb057f7353bedc8348f400c49b5d74e0,Z,Failed
bb6db54c2537ab90c9521d6227e9674d,2,Captured
da9bcd5791d12edf9260d7028eeeeeac,Z,Failed
69d2c870829e7cf7c725ddbf1da7793c,2,Captured
bcd6e1ab85d493c306039b1a340b59ec,Z,Failed
ad21943aa77769dc28b603d18c27c818,Z,Failed
980bdc8d02fa878e36b07100a3243601,Z,Failed
afa5d746e4bb1716b09d281c55400548,Z,Failed
1cf7427648796d767df04e1c7d48f22b,2,Captured
72ed78814e73cbebce626b24e18d2a0b,8,Captured
2487c4ced1a9e4a4c472f62dcf59693c,0,Captured
8dfe523e953f82cffe38b25085d523e6,2,Captured
f821933588540775512ebb0cc92cc09c,Z,Failed
a7f4f0ab71be971a737854ab66f3755b,Z,Failed
a6529a2bd7ec4e83d6a830d86e02da6c,Z,Failed
2e9782e001b5f326a369b4d94c41cfc5,Z,Failed
eeb7a330c4b99976c11596b81ad3909a,2,Captured
35470b12703b4df8f6d800ee0e394a4f,2,Captured
21102f482ba40c9149af54006b6aa61f,2,Captured
752fa1d7326a4967abc1bc88194ad8d5,Z,Failed
e9602f88a325b8ddbfd05b46e3aa561d,2,Captured
be23fc48403d5665d5a3f5d34a4de4e7,Z,Failed
ec28875d04c3bccb243abb255dc573b9,2,Captured
dbae05fb095cd8eadd841a17a993a81a,14,Captured
368071993a3541ac6d2027698520bb9f,1,Captured
24f3a04d5d2cd157ca543afc4c72987b,2,Captured
0a7110c2993c4521cc2ebf312ba369d3,11,Captured
d5899743ac05c0c7d2cca2845c2c9250,2,Captured
c047f66ea2b52a30f96c3444fbb1899d,3,Captured
e09848bf5299ece1ff96af1eb1404667,2,Captured
8046f78fee5e65d465e260578e532bec,2,Captured
c6d5dc85919bdd7d2f7f4370d7b723ea,2,Captured
6df893bce0e5b9e1a7896431c36250fb,9,Captured
6b1c716a34f1f83582b678e9c31dfd59,Z,Failed
3c99c41ba2b49e1370ce74074591b5ed,1,Captured
ad7fe6bc96cde64b8f6a7c2663d995b6,1,Captured
6cd60aac97bf298a9b00692ed8157073,12,Captured
363a11cc28dc8ef9a108e34b4c64faeb,2,Captured
f8b6aa624407e014e87e24bc36ec4988,2,Captured
a9c4c99cdd02586825ac3d7215a5104c,1,Captured
c86bcc542ae35cb5b6150e93726e0731,Z,Failed
ebaf2751dafb105024a9cd3508f914d9,Z,Failed
7cf94376e5f4489ea85e5ba1b52490f3,2,Captured
6794e14e38138825319b37b993a8f058,8,Captured
767b564ce4b53d6394ae2f74a9113231,2,Captured
8f3a84a9a6d6cc99c1005c35f7cb6cda,Z,Failed
b1a8948a0ad37d3903c5351200fc458b,Z,Failed
ec14ec50ea2e6f13ff152d1565b79fa3,2,Captured
eafd0057e265eb90f8a4c03f4343bfd4,Z,Failed
72d8ad78440d8620629384cc61406b51,2,Captured
7199705541a21032f2aaaf1c38a41e64,Z,Failed
58fa49963a457be3c61a5cbfc227fbe3,Z,Failed
c089a9b24e32429e59f1d2346deb2593,1,Captured
67f668cd977ba6e9e4668164350d7ec3,1,Captured
19fe389bef073bcf5dd4421694513359,Z,Failed
efe5b8bd7c123b5a5ee399fccafe85db,9,Captured
4a2d6fcacd988a8e471371876373120a,Z,Failed
4a4d9b68a969a534dd78a6c7c99ff826,2,Captured
81732f7c127b49d455ba76611e169ac4,2,Captured
f962b4e24a22e3678c194fb90cb73ccd,1,Captured
46c475bb8c0bd888bb965962657e46b3,Z,Failed
d930a8613ccce8b09da15c2c0ef9ae09,Z,Failed
b152155fd0ef50a18ae986788e9e3f34,Z,Failed
a8432ddfb4224d7e39bab35b18fd7c60,Z,Failed
8199fd9c3dcbcdb3ff582851a3a424bb,Z,Failed
c076d181b1f442fe192dbcd729c84dd1,1,Captured
63740e11794c208fa3c1538665a44d50,Z,Failed
51cfdb20bdcd7e9f670aba08281fd520,Z,Failed
bf9c3153ecc91a4a6c1ec46c7f82ada3,2,Captured
1078fb31706f94108589828d5226fb0a,Z,Failed
2be5972d536bc155552557d76b352d91,2,Captured
f99efd536f74d311d536538994089cc1,1,Captured
b09ce13012cd3712d0d8536b04ed50f0,0,Captured
f28da5b2da67f00a9d8608737b3809a4,2,Captured
856687c6baacc46d4032015309244251,2,Captured
dc5d6ac9f3df7658f7824d8790cd82ea,0,Captured
b757618f673eb4b43f0ca34f9cbebfcd,Z,Failed
ae6184b3f48883dd657910c3d9056d36,2,Captured
7f02ca2f7455f66a84855ab67ae2df63,1,Captured
5f475f35defc3aba5e01903606431a03,2,Captured
42d294b4240ba268d590bc0b76d4caa4,Z,Failed
a1a4f590bdf122fcd9a51e53284c63ad,2,Captured
8d7341b98643b7f03b453fe01cbe6364,1,Captured
7b26fc87e66cc2cd0d625c4facf23cc2,Z,Failed
b62c9b969c72b39231715627508fda41,Z,Failed
4747ea9e85a2a9713b97cc478ebcd0c3,Z,Failed
b46a6dbb0be8c92498cd0dab2775c1be,2,Captured
5d85ba923b037da4ac18d3b511a61b6e,1,Captured
5af95f37d3172d01d44115882e158569,2,Captured
eb6dc33e13348895dc37ed265880e755,0,Captured
2af80fa8ad94b912bb0b22815879c7f2,1,Captured
77d080b9712cc3d9bad41358b95d3173,1,Captured
c1276aeaa1b908ef33a9efdf231fce55,1,Captured
2b78534c6614902eb521db13fd52cc43,0,Captured
378a0eb0de81568d108b3269dc7e6164,Z,Failed
b7353dce58dcac1e97a637147816f26d,Z,Failed
5bb98680ebc1d2c96b9dd587d115212f,16,Captured
6ea31782c8a5904006da6a9e32712118,2,Captured
bf2e1e51de33dde6cc28a00e1109478e,2,Captured
6e71b0d1ec0d861cc19ad6170a26a169,Z,Failed
e8f7d215fe30b098a131ef9ece04b061,Z,Failed
cfd8a0542cc1d45adf4966f9af7d4d29,Z,Failed
1d3a278d5c8cdabe0a88c8e8d410c524,Z,Failed
fb5090cd7e0d7d7f38540d8c1bb09bf0,Z,Failed
0cf06576fd6a418c375be0408d5ed47a,9,Captured
247a8cb4dd85cf2244f6641037873ba8,Z,Failed
8413f462d8cdad62f8aa206676ac38cc,Z,Failed
f4491a3cb3276f37b66f3ac295fba9f0,Z,Failed
6102aa590ed3014e913fe3e7e0b75304,Z,Failed
1d44af149fc8bec2c03eb54a1474c08d,Z,Failed
abf6d65b574ceccdae78e212e1cae025,Z,Failed
1d6e5c61509b0f730fbef01f39654c2a,9,Captured
e68580f34f2d519b230761c4fc7e51aa,Z,Failed
0a93a0c97ad152014f3935e1f779df7a,1,Captured
57d8b37f7ed6cfa301c5cf7053376e19,0,Captured
85ec3c90d16e7190e40e9a65bd76a2dd,2,Captured
b213210569e5c4742f62e934739a6818,Z,Failed
2bd51f09ad0ea5c9ed2412c89828315c,Z,Failed
9f500fca84bfde59a48f7f92ac454565,2,Captured
ec3f944aab72c993f212ddf61a0ea6e8,2,Captured
f17f21d415a12a950b09b5df628f2827,2,Captured
166f32256e7af4e9d4b9d87027e4026d,1,Captured
a2b3138b3eeb6e7f09b38cd323c7dccd,Z,Failed
