Показатель 2	Показатель 3	Показатель 4	Показатель 5	Показатель|Количество
0.072	0.092	0.491	93	1
0.259	0.126	0.949	79	1
0.138	0.994	0.809	74	1
0.271	0.876	0.799	35	1
0.206	0.067	0.916	81	1
0.093	0.054	0.54	29	1
0.75	0.595	0.745	23	1
0.823	0.598	0.386	97	1
0.451	0.272	0.491	65	1
0.372	0.204	0.158	24	1
0.294	0.287	0.818	37	1
0.554	0.516	0.801	63	1
0.342	0.725	0.764	24	1
0.623	0.355	0.206	1	1
0.782	0.296	0.722	26	1
0.523	0.43	0.347	66	1
0.321	0.473	0.766	50	1
0.847	0.76	0.68	53	1
0.519	0.027	0.795	12	1
0.237	0.567	0.238	100	1
0.704	0.241	0.808	38	1
0.972	0.665	0.104	60	1
0.091	0.875	0.025	52	1
0.952	0.006	0.372	48	1
0.704	0.797	0.534	68	1
0.341	0.951	0.5	15	1
0.313	0.665	0.674	81	1
0.293	0.858	0.231	12	1
0.43	0.915	0.993	48	1
0.727	0.974	0.073	30	1
0.372	0.065	0.755	40	1
0.168	0.646	0.349	21	1
0.382	0.329	0.021	83	1
0.656	0.844	0.801	5	1
0.816	0.545	0.287	76	1
0.705	0.992	0.758	51	1
0.388	0.417	0.684	92	1
0.341	0.116	0.873	46	1
0.488	0.065	0.74	60	1
0.188	0.303	0.416	42	1
0.544	0.891	0.711	26	1
0.624	0.473	0.13	83	1
0.469	0.759	0.464	2	1
0.997	0.461	0.653	19	1
0.149	0.483	0.934	86	1
0.906	0.416	0.498	92	1
0.012	0.629	0.133	75	1
0.542	0.508	0.601	11	1
0.645	0.633	0.727	46	1
0.093	0.951	0.427	7	1
0.482	0.226	0.177	30	1
0.206	0.335	0.639	66	1
0.552	0.177	0.438	64	1
0.526	0.275	0.33	47	1
0.289	0.342	0.225	18	1
0.278	0.369	0.823	76	1
0.406	0.033	0.834	11	1
0.925	0.468	0.02	28	1
0.829	0.694	0.538	6	1
0.889	0.261	0.329	88	1
0.698	0.891	0.531	81	1
0.323	0.174	0.145	86	1
0.423	0.614	0.448	94	1
0.956	0.573	0.89	29	1
0.812	0.897	0.437	14	1
0.001	0.293	0.628	94	1
0.251	0.738	0.799	41	1
0.115	0.466	0.23	22	1
0.958	0.344	0.188	12	1
0.432	0.669	0.106	80	1
0.29	0.686	0.377	77	1
0.656	0.386	0.504	7	1
0.115	0.359	0.583	63	1
0.214	0.774	0.363	47	1
0.253	0.761	0.354	22	1
0.469	0.753	0.735	56	1
0.966	0.586	0.025	53	1
0.007	0.398	0.77	93	1
0.526	0.625	0.724	10	1
0.972	0.65	0.254	94	1
0.834	0.881	0.957	90	1
0.473	0.336	0.724	25	1
0.106	0.996	0.738	2	1
0.054	0.505	0.132	18	1
0.622	0.993	0.299	19	1
0.214	0.074	0.083	85	1
0.537	0.327	0.344	8	1
0.011	0.786	0.623	17	1
0.751	0.254	0.886	45	1
0.706	0.481	0.603	62	1
0.848	0.502	0.625	6	1
0.486	0.682	0.597	86	1
0.093	0.268	0.906	47	1
0.239	0.491	0.381	14	1
0.491	0.517	0.232	58	1
0.4	0.795	0.981	50	1
0.914	0.596	0.338	0	1
0.853	0.792	0.283	86	1
0.281	0.168	0.829	30	1
0.898	0.823	0.197	80	1
0.809	0.445	0.386	93	1
0.279	0.517	0.392	29	1
0.326	0.745	0.524	12	1
0.278	0.253	0.593	12	1
0.639	0.354	0.922	47	1
0.871	0.928	0.436	20	1
0.973	0.71	0.308	38	1
0.938	0.044	0.889	67	1
0.468	0.884	0.917	34	1
0.549	0.103	0.234	78	1
0.741	0.392	0.496	99	1
0.303	0.316	0.61	67	1
0.504	0.303	0.885	97	1
0.732	0.626	0.126	85	1
0.258	0.672	0.158	67	1
0.77	0.039	0.523	58	1
0.033	0.275	0.317	67	1
0.28	0.274	0.415	3	1
0.203	0.667	0.564	12	1
0.645	0.719	0.077	24	1
0.357	0.546	0.119	83	1
0.426	0.703	0.805	94	1
0.236	0.426	0.615	22	1
0.075	0.083	0.838	11	1
0.732	0.633	0.048	10	1
0.717	0.136	0.836	40	1
0.944	0.607	0.286	20	1
0.992	0.772	0.928	39	1
0.307	0.513	0.152	58	1
0.954	0.052	0.32	58	1
0.772	0.173	0.058	81	1
0.046	0.025	0.463	27	1
0.059	0.305	0.208	100	1
0.123	0.871	0.785	22	1
0.963	0.075	0.361	57	1
0.547	0.366	0.988	10	1
0.732	0.964	0.156	93	1
0.338	0.645	0.906	81	1
0.496	0.942	0.006	90	1
0.396	0.294	0.919	55	1
0.774	0.963	0.54	95	1
0.775	0.741	0.944	77	1
0.023	0.765	0.626	32	1
0.028	0.969	0.974	84	1
0.274	0.986	0.943	83	1
0.611	0.533	0.187	64	1
0.806	0.589	0.116	65	1
0.349	0.899	0.616	88	1
0.901	0.609	0.425	74	1
0.964	0.085	0.383	27	1
0.654	0.198	0.063	20	1
0.67	0.627	0.49	50	1
0.841	0.994	0.963	41	1
0.826	0.844	0.181	2	1
0.862	0.8	0.189	94	1
0.649	0.423	0.857	63	1
0.733	0.572	0.885	35	1
0.001	0.321	0.565	92	1
0.149	0.721	0.789	71	1
0.224	0.965	0.035	46	1
0.607	0.732	0.31	1	1
0.047	0.783	0.294	87	1
0.592	0.088	0.165	36	1
0.553	0.031	0.834	65	1
0.825	0.51	0.583	97	1
0.208	0.942	0.341	85	1
0.569	0.514	0.067	0	1
0.953	0.185	0.995	52	1
0.012	0.272	0.717	16	1
0.356	0.637	0.325	6	1
0.691	0.793	0.126	17	1
0.834	0.465	0.629	23	1
0.999	0.408	0.824	0	1
0.926	0.525	0.955	14	1
0.741	0.58	0.296	98	1
0.64	0.068	0.65	95	1
0.759	0.014	0.558	62	1
0.853	0.767	0.462	38	1
0.616	0.085	0.292	36	1
0.782	0.043	0.216	10	1
0.344	0.581	0.55	4	1
0.51	0.719	0.041	85	1
0.256	0.754	0.02	22	1
0.58	0.973	0.167	47	1
0.821	0.685	0.847	33	1
0.648	0.614	0.284	63	1
0.592	0.962	0.026	62	1
0.2	0.665	0.46	46	1
0.212	0.67	0.348	87	1
0.331	0.255	0.622	97	1
0.472	0.696	0.921	0	1
0.588	0.836	0.606	25	1
0.432	0.341	0.241	44	1
0.872	0.698	0.76	52	1
0.609	0.248	0.83	33	1
0.41	0.804	0.114	97	1
0.223	0.646	0.442	50	1
0.776	0.941	0.114	45	1
0.511	0.897	0.821	32	1
0.99	0.173	0.918	92	1
0.095	0.367	0.033	31	1
0.669	0.614	0.251	72	1
0.423	0.599	0.349	60	1
0.246	0.517	0.824	72	1
0.262	0.806	0.698	15	1
0.246	0.663	0.322	19	1
0.262	0.674	0.685	88	1
0.63	0.076	0.943	55	1
0.578	0.474	0.161	49	1
0.199	0.039	0.507	87	1
0.555	0.494	0.365	20	1
0.061	0.435	0.127	27	1
0.478	0.777	0.624	21	1
0.16	0.386	0.443	5	1
0.379	0.172	0.617	6	1
0.867	0.217	0.412	67	1
0.913	0.704	0.202	75	1
0.636	0.726	0.67	54	1
0.293	0.246	0.805	65	1
0.721	0.768	0.449	62	1
0.288	0.514	0.366	30	1
0.95	0.151	0.063	83	1
0.282	0.367	0.862	98	1
0.576	0.845	0.947	28	1
0.399	0.424	0.374	4	1
0.174	0.506	0.272	28	1
0.689	0.991	0.732	14	1
0.609	0.305	0.107	25	1
0.372	0.298	0.713	24	1
0.067	0.079	0.159	31	1
0.156	0.06	0.805	43	1
0.149	0.788	0.062	80	1
0.6	0.332	0.534	53	1
0.018	0.288	0.236	57	1
0.56	0.695	0.354	57	1
0.623	0.412	0.31	5	1
0.679	0.742	0.093	4	1
0.975	0.369	0.1	18	1
0.952	0.881	0.973	91	1
0.49	0.452	0.158	14	1
0.347	0.452	0.182	59	1
0.391	0.061	0.875	86	1
0.492	0.154	0.016	57	1
0.178	0.034	0.155	41	1
0.421	0.783	0.575	92	1
0.155	0.297	0.644	13	1
0.388	0.289	0.032	65	1
0.022	0.82	0.53	63	1
0.735	0.137	0.458	80	1
0.532	0.889	0.893	53	1
0.833	0.989	0.206	43	1
0.203	0.694	0.631	14	1
0.076	0.689	0.869	30	1
0.101	0.218	0.941	78	1
0.944	0.57	0.791	54	1
0.682	0.453	0.362	7	1
0.125	0.069	0.14	93	1
0.693	0.918	0.385	94	1
0.699	0.651	0.551	17	1
0.142	0.493	0.62	51	1
0.389	0.054	0.326	83	1
0.326	0.566	0.531	69	1
0.87	0.839	0.197	21	1
0.923	0.493	0.73	71	1
0.144	0.255	0.651	96	1
0.145	0.369	0.836	39	1
0.97	0.419	0.821	50	1
0.958	0.11	0.89	25	1
0.368	0.802	0.937	31	1
0.358	0.851	0.343	39	1
0.179	0.039	0.339	98	1
0.713	0.657	0.599	25	1
0.684	0.034	0.051	7	1
0.173	0.542	0.121	13	1
0.292	0.399	0.924	86	1
0.126	0.801	0.103	55	1
0.29	0.185	0.333	80	1
0.738	0.663	0.7	38	1
0.65	0.94	0.446	86	1
0.538	0.242	0.826	86	1
0.904	0.071	0.042	65	1
0.076	0.815	0.508	37	1
0.079	0.527	0.909	36	1
0.638	0.404	0.81	2	1
0.695	0.781	0.787	52	1
0.025	0.669	0.312	7	1
0.828	0.141	0.888	58	1
0.396	0.122	0.156	14	1
0.227	0.36	0.968	28	1
0.172	0.646	0.653	27	1
0.506	0.565	0.967	82	1
0.002	0.33	0.455	77	1
0.39	0.499	0.212	92	1
0.794	0.614	0.284	86	1
0.022	0.07	0.177	58	1
0.804	0.749	0.229	15	1
0.342	0.221	0.811	76	1
0.793	0.568	0.605	95	1
0.518	0.105	0.43	78	1
0.242	0.572	0.369	34	1
0.446	0.573	0.161	63	1
0.634	0.322	0.106	9	1
0.31	0.982	0.962	97	1
0.792	0.154	0.572	42	1
0.206	0.306	0.196	7	1
0.285	0.194	0.801	46	1
0.824	0.566	0.768	48	1
0.896	0.698	0.776	70	1
0.203	0.568	0.829	51	1
0.151	0.695	0.664	5	1
0.533	0.96	0.037	60	1
0.907	0.946	0.603	90	1
0.037	0.591	0.387	43	1
0.012	0.215	0.07	84	1
0.897	0.195	0.594	83	1
0.019	0.858	0.791	31	1
0.262	0.377	0.05	60	1
0.965	0.713	0.231	99	1
0.298	0.916	0.333	1	1
0.212	0.311	0.634	2	1
0.322	0.384	0.288	22	1
0.354	0.4	0.632	5	1
0.979	0.069	0.66	50	1
0.182	0.777	0.418	7	1
0.493	0.218	0.299	15	1
0.713	0.433	0.472	11	1
0.979	0.589	0.924	42	1
0.284	0.015	0.862	66	1
0.814	0.317	0.446	6	1
0.703	0.596	0.098	2	1
0.074	0.09	0.86	81	1
0.469	0.759	0.552	33	1
0.031	0.64	0.694	63	1
0.047	0.992	0.444	55	1
0.713	0.547	0.024	80	1
0.217	0.402	0.38	15	1
0.529	0.353	0.048	75	1
0.471	0.728	0.468	62	1
0.954	0.99	0.229	81	1
0.482	0.686	0.98	89	1
0.275	0.52	0.991	69	1
0.636	0.604	0.591	44	1
0.405	0.186	0.986	77	1
0.621	0.391	0.168	26	1
0.751	0.784	0.92	30	1
0.082	0.8	0.133	70	1
0.156	0.33	0.94	26	1
0.339	0.019	0.378	2	1
0.893	0.061	0.586	19	1
0.162	0.562	0.751	81	1
0.724	0.731	0.306	71	1
0.62	0.483	0.099	23	1
0.028	0.226	0.53	92	1
0.979	0.892	0.876	4	1
0.983	0.498	0.309	60	1
0.672	0.795	0.314	42	1
0.815	0.798	0.518	19	1
0.325	0.235	0.152	70	1
0.107	0.232	0.619	65	1
0.855	0.754	0.935	76	1
0.175	0.628	0.985	3	1
0.618	0.165	0.87	37	1
0.503	0.709	0.792	98	1
0.629	0.632	0.244	26	1
0.238	0.589	0.466	97	1
0.84	0.073	0.41	5	1
0.754	0.57	0.702	35	1
0.482	0.862	0.329	97	1
0.272	0.263	0.036	25	1
0.472	0.856	0.677	38	1
0.55	0.008	0.985	27	1
0.875	0.725	0.519	15	1
0.626	0.625	0.749	99	1
0.436	0.602	0.536	80	1
0.631	0.455	0.472	27	1
0.173	0.039	0.825	47	1
0.664	0.734	0.072	40	1
0.028	0.28	0.252	73	1
0.723	0.268	0.627	3	1
0.588	0.845	0.376	17	1
0.706	0.421	0.326	94	1
0.86	0.427	0.928	81	1
0.472	0.421	0.986	58	1
0.115	0.097	0.857	30	1
0.962	0.973	0.122	51	1
0.792	0.832	0.94	1	1
0.387	0.189	0.593	52	1
0.465	0.345	0.946	85	1
0.473	0.824	0.798	67	1
0.873	0.23	0.376	90	1
0.774	0.835	0.441	14	1
0.01	0.427	0.752	96	1
0.044	0.239	0.858	80	1
0.281	0.984	0.475	77	1
0.673	0.299	0.904	70	1
0.716	0.153	0.25	15	1
0.186	0.006	0.407	29	1
0.253	0.775	0.061	86	1
0.8	0.887	0.178	52	1
0.079	0.996	0.723	41	1
0.051	0.119	0.591	72	1
0.031	0.286	0.984	52	1
0.478	0.956	0.718	25	1
0.067	0.776	0.197	50	1
0.371	0.469	0.033	7	1
0.792	0.898	0.554	42	1
0.58	0.601	0.675	100	1
0.054	0.35	0.878	5	1
0.393	0.529	0.272	89	1
0.593	0.367	0.982	71	1
0.464	0.344	0.334	54	1
0.76	0.3	0.59	80	1
0.818	0.042	0.2	49	1
0.3	0.518	0.816	25	1
0.909	0.824	0.552	53	1
0.186	0.615	0.213	75	1
0.741	0.711	0.496	15	1
0.533	0.932	0.378	75	1
0.057	0.477	0.194	65	1
0.554	0.388	0.121	37	1
0.584	0.883	0.069	25	1
0.599	0.63	0.201	100	1
0.347	0.233	0.57	82	1
0.241	0.493	0.617	80	1
0.037	0.238	0.494	54	1
0.432	0.766	0.468	1	1
0.452	0.196	0.877	36	1
0.721	0.281	0.373	1	1
0.992	0.477	0.446	24	1
0.53	0.308	0.451	26	1
0.219	0.334	0.63	23	1
0.499	0.264	0.867	99	1
0.484	0.01	0.141	31	1
0.889	0.732	0.942	81	1
0.607	0.169	0.106	15	1
0.05	0.8	0.819	96	1
0.628	0.639	0.773	56	1
0.948	0.704	0.699	56	1
0.619	0.46	0.775	84	1
0.757	0.787	0.632	53	1
0.554	0.253	0.951	90	1
0.517	0.771	0.878	41	1
0.246	0.895	0.742	20	1
0.847	0.342	0.824	91	1
0.347	0.51	0.136	50	1
0.724	0.047	0.471	41	1
0.402	0.774	0.185	46	1
0.328	0.498	0.472	9	1
0.982	0.525	0.08	98	1
0.944	0.901	0.745	3	1
0.861	0.699	0.789	41	1
0.93	0.884	0.642	2	1
0.266	0.561	0.261	57	1
0.744	0.645	0.68	26	1
0.193	0.263	0.186	56	1
0.04	0.414	0.836	80	1
0.771	0.71	0.323	38	1
0.815	0.22	0.404	86	1
0.706	0.734	0.39	36	1
0.637	0.978	0.419	88	1
0.772	0.589	0.513	48	1
0.912	0.885	0.633	51	1
0.379	0.746	0.239	35	1
0.235	0.127	0.065	24	1
0.188	0.019	0.117	17	1
0.79	0.903	0.107	2	1
0.802	0.984	0.829	36	1
0.818	0.759	0.191	56	1
0.514	0.721	0.899	12	1
0.144	0.231	0.026	51	1
0.114	0.87	0.951	71	1
0.774	0.808	0.392	43	1
0.765	0.994	0.538	60	1
0.544	0.203	0.493	59	1
0.938	0.256	0.53	40	1
0.84	0.935	0.883	55	1
0.409	0.411	0.066	62	1
0.375	0.224	0.946	57	1
0.319	0.107	0.065	26	1
0.032	0.207	0.937	87	1
0.303	0.502	0.304	15	1
0.769	0.452	0.596	62	1
0.665	0.19	0.06	18	1
0.586	0.795	0.315	82	1
0.636	0.442	0.303	29	1
0.552	0.487	0.869	96	1
0.679	0.761	0.467	28	1
0.898	0.651	0.713	48	1
0.864	0.741	0.775	47	1
0.172	0.059	0.838	8	1
0.302	0.252	0.123	10	1
0.455	0.206	0.193	78	1
0.645	0.926	0.537	64	1
0.642	0.716	0.664	89	1
0.645	0.96	0.184	79	1
0.779	0.047	0.623	67	1
0.779	0.234	0.947	44	1
0.475	0.511	0.032	92	1
0.932	0.735	0.567	29	1
0.361	0.612	0.116	31	1
0.147	0.299	0.339	40	1
0.624	0.689	0.59	53	1
0.434	0.665	0.383	50	1
0.597	0.876	0.462	27	1
0.644	0.836	0.462	13	1
0.416	0.375	0.383	4	1
0.406	0.763	0.378	53	1
0.732	0.037	0.573	72	1
0.121	0.331	0.918	49	1
0.494	0.261	0.296	99	1
0.027	0.66	0.37	82	1
0.79	0.203	0.913	59	1
0.32	0.727	0.599	81	1
0.75	0.295	0.485	28	1
0.337	0.286	0.685	36	1
0.515	0.081	0.943	78	1
0.811	0.115	0.124	4	1
0.264	0.365	0.822	37	1
0.174	0.562	0.594	87	1
0.309	0.666	0.552	37	1
0.933	0.416	0.279	97	1
0.245	0.992	0.324	45	1
0.108	0.083	0.755	99	1
0.169	0.924	0.498	73	1
0.727	0.075	0.449	38	1
0.962	0.012	0.598	67	1
0.386	0.812	0.645	46	1
0.624	0.483	0.845	81	1
0.876	0.741	0.063	28	1
0.686	0.266	0.274	30	1
0.864	0.76	0.999	33	1
0.672	0.322	0.399	25	1
0.643	0.962	0.024	4	1
0.629	0.29	0.445	89	1
0.944	0.681	0.25	11	1
0.719	0.452	0.147	58	1
0.807	0.866	0.153	63	1
0.875	0.997	0.103	53	1
0.517	0.753	0.965	1	1
0.515	0.611	0.696	45	1
0.601	0.855	0.622	76	1
0.325	0.369	0.576	96	1
0.893	0.269	0.281	6	1
0.094	0.946	0.706	78	1
0.65	0.286	0.393	11	1
0.627	0.14	0.968	81	1
0.745	0.324	0.344	36	1
0.707	0.704	0.332	95	1
0.908	0.163	0.655	48	1
0.123	0.492	0.593	76	1
0.042	0.502	0.747	22	1
0.764	0.918	0.66	98	1
0.595	0.823	0.265	1	1
0.775	0.731	0.416	75	1
0.991	0.565	0.967	40	1
0.77	0.093	0.141	76	1
0.135	0.621	0.178	34	1
0.113	0.983	0.489	14	1
0.969	0.137	0.801	24	1
0.261	0.898	0.035	19	1
0.095	0.625	0.893	83	1
0.166	0.88	0.386	92	1
0.464	0.395	0.805	88	1
0.744	0.848	0.845	39	1
0.12	0.293	0.884	70	1
0.401	0.245	0.647	88	1
0.013	0.755	0.733	44	1
0.631	0.996	0.752	88	1
0.872	0.17	0.042	26	1
0.663	0.781	0.207	83	1
0.139	0.561	0.971	22	1
0.182	0.617	0.059	78	1
0.967	0.571	0.108	8	1
0.108	0.757	0.841	74	1
0.284	0.769	0.977	86	1
0.437	0.898	0.62	97	1
0.912	0.266	0.116	20	1
0.145	0.7	0.598	96	1
0.755	0.639	0.717	56	1
0.156	0.625	0.287	32	1
0.044	0.174	0.826	26	1
0.37	0.077	0.238	41	1
0.653	0.418	0.105	25	1
0.756	0.869	0.339	84	1
0.467	0.046	0.163	76	1
0.506	0.986	0.67	75	1
0.818	0.033	0.437	76	1
0.25	0.676	0.925	88	1
0.987	0.152	0.654	18	1
0.339	0.842	0.392	55	1
0.76	0.771	0.832	4	1
0.183	0.752	0.499	32	1
0.054	0.971	0.867	24	1
0.657	0.064	0.923	55	1
0.6	0.974	0.665	34	1
0.568	0.153	0.259	76	1
0.695	0.88	0.848	1	1
0.184	0.764	0.249	77	1
0.008	0.722	0.011	38	1
0.826	0.969	0.582	69	1
0.456	0.834	0.556	16	1
0.522	0.436	0.25	72	1
0.138	0.523	0.076	56	1
0.724	0.016	0.465	71	1
0.335	0.063	0.306	10	1
0.087	0.638	0.146	61	1
0.567	0.997	0.638	13	1
0.311	0.519	0.96	68	1
0.722	0.752	0.199	22	1
0.044	0.685	0.931	52	1
0.234	0.567	0.484	38	1
0.853	0.803	0.611	94	1
0.337	0.733	0.566	3	1
0.248	0.333	0.811	60	1
0.373	0.146	0.848	83	1
0.777	0.979	0.895	48	1
0.166	0.171	0.402	35	1
0.179	0.469	0.64	21	1
0.456	0.823	0.847	44	1
0.602	0.632	0.655	13	1
0.4	0.252	0.806	55	1
0.882	0.798	0.361	19	1
0.127	0.551	0.918	75	1
0.882	0.506	0.541	74	1
0.369	0.867	0.415	66	1
0.9	0.527	0.441	98	1
0.139	0.834	0.259	11	1
0.136	0.196	0.445	38	1
0.485	0.307	0.845	64	1
0.218	0.059	0.306	82	1
0.295	0.419	0.264	84	1
0.796	0.833	0.941	54	1
0.175	0.943	0.128	48	1
0.195	0.675	0.786	96	1
0.382	0.975	0.959	44	1
0.134	0.769	0.72	27	1
0.822	0.917	0.145	47	1
0.503	0.222	0.545	84	1
0.11	0.787	0.444	76	1
0.207	0.271	0.03	43	1
0.697	0.83	0.07	33	1
0.067	0.805	0.521	26	1
0.05	0.444	0.325	20	1
0.791	0.201	0.11	82	1
0.903	0.426	0.804	43	1
0.999	0.469	0.367	58	1
0.57	0.521	0.156	89	1
0.319	0.711	0.633	42	1
0.31	0.286	0.412	94	1
0.537	0.891	0.881	93	1
0.773	0.271	0.874	86	1
0.818	0.922	0.136	52	1
0.49	0.507	0.564	8	1
0.983	0.062	0.453	33	1
0.437	0.311	0.239	28	1
0.849	0.621	0.465	95	1
0.658	0.399	0.967	24	1
0.639	0.982	0.492	96	1
0.949	0.312	0.266	58	1
0.442	0.939	0.208	28	1
0.607	0.162	0.807	22	1
0.747	0.34	0.874	31	1
0.242	0.681	0.671	71	1
0.033	0.047	0.134	94	1
0.648	0.584	0.185	37	1
0.423	0.207	0.371	33	1
0.738	0.253	0.301	25	1
0.404	0.837	0.628	49	1
0.545	0.72	0.554	83	1
0.6	0.72	0.092	70	1
0.28	0.977	0.574	66	1
0.619	0.614	0.135	75	1
0.454	0.585	0.159	67	1
0.957	0.772	0.923	94	1
0.07	0.606	0.918	43	1
0.962	0.78	0.589	99	1
0.861	0.839	0.47	11	1
0.866	0.698	0.96	65	1
0.61	0.379	0.208	30	1
0.874	0.524	0.857	18	1
0.516	0.474	0.624	68	1
0.322	0.962	0.948	66	1
0.636	0.713	0.2	41	1
0.89	0.509	0.173	7	1
0.376	0.505	0.858	43	1
0.884	0.847	0.72	24	1
0.058	0.89	0.973	52	1
0.578	0.558	0.577	50	1
0.538	0.651	0.951	13	1
0.615	0.139	0.633	29	1
0.896	0.742	0.366	17	1
0.476	0.343	0.353	48	1
0.179	0.03	0.661	41	1
0.011	0.819	0.007	51	1
0.217	0.344	0.413	89	1
0.029	0.074	0.465	43	1
0.491	0.842	0.158	99	1
0.95	0.745	0.558	61	1
0.074	0.693	0.78	39	1
0.526	0.181	0.995	39	1
0.623	0.058	0.465	84	1
0.618	0.344	0.843	47	1
0.443	0.403	0.208	71	1
0.038	0.009	0.58	15	1
0.612	0.105	0.897	39	1
0.455	0.297	0.692	35	1
0.161	0.389	0.945	46	1
0.358	0.499	0.852	48	1
0.326	0.558	0.495	72	1
0.089	0.229	0.646	7	1
0.86	0.556	0.184	97	1
0.934	0.879	0.872	28	1
0.401	0.824	0.465	70	1
0.275	0.394	0.395	18	1
0.911	0.485	0.503	49	1
0.81	0.351	0.57	82	1
0.174	0.829	0.617	25	1
0.829	0.362	0.219	19	1
0.356	0.121	0.302	36	1
0.561	0.777	0.181	90	1
0.627	0.71	0.799	48	1
0.57	0.71	0.418	73	1
0.847	0.462	0.239	25	1
0.232	0.369	0.685	100	1
0.317	0.497	0.338	86	1
0.255	0.706	0.759	71	1
0.585	0.244	0.668	28	1
0.276	0.373	0.24	53	1
0.322	0.804	0.476	47	1
0.516	0.998	0.903	57	1
0.256	0.63	0.077	26	1
0.492	0.762	0.623	100	1
0.171	0.516	0.806	14	1
0.8	0.303	0.853	43	1
0.968	0.899	0.526	83	1
0.957	0.918	0.669	17	1
0.786	0.475	0.712	65	1
0.303	0.091	0.382	26	1
0.19	0.129	0.083	70	1
0.971	0.321	0.703	29	1
0.417	0.169	0.807	91	1
0.913	0.274	0.478	11	1
0.689	0.888	0.263	81	1
0.992	0.238	0.982	25	1
0.582	0.42	0.367	17	1
0.14	0.897	0.777	27	1
0.467	0.922	0.463	49	1
0.57	0.411	0.131	79	1
0.002	0.067	0.772	19	1
0.059	0.818	0.002	46	1
0.699	0.841	0.404	72	1
0.288	0.74	0.582	67	1
0.541	0.662	0.94	42	1
0.247	0.404	0.402	5	1
0.671	0.806	0.564	24	1
0.701	0.977	0.007	86	1
0.14	0.149	0.768	21	1
0.719	0.212	0.185	17	1
0.715	0.217	0.616	78	1
0.268	0.407	0.762	76	1
0.758	0.555	0.569	96	1
0.864	0.678	0.961	98	1
0.152	0.402	0.871	25	1
0.294	0.541	0.319	33	1
0.308	0.681	0.506	38	1
0.388	0.809	0.175	84	1
0.221	0.302	0.708	90	1
0.867	0.801	0.707	33	1
0.594	0.781	0.035	57	1
0.245	0.864	0.548	43	1
0.024	0.161	0.014	54	1
0.794	0.206	0.948	46	1
0.25	0.258	0.337	33	1
0.578	0.044	0.512	5	1
0.462	0.211	0.626	70	1
0.54	0.062	0.493	62	1
0.676	0.348	0.759	23	1
0.658	0.182	0.649	70	1
0.169	0.362	0.761	82	1
0.163	0.649	0.663	99	1
0.977	0.805	0.251	89	1
0.817	0.427	0.127	33	1
0.454	0.887	0.46	48	1
0.254	0.908	0.084	34	1
0.897	0.593	0.802	12	1
0.388	0.933	0.139	2	1
0.233	0.111	0.02	53	1
0.876	0.128	0.125	10	1
0.763	0.571	0.88	11	1
0.646	0.548	0.34	16	1
0.974	0.099	0.438	29	1
0.495	0.636	0.337	64	1
0.415	0.182	0.867	62	1
0.737	0.496	0.285	62	1
0.628	0.344	0.842	77	1
0.925	0.479	0.887	41	1
