Дней с продажи	Статус клиента	Уровень клиента	Активность клиента	Тип клиента	Последняя покупка	LTV выручка	Периодичность покупок, д. (пп)	Кол-во покупок (пп)	Покупатель	Client_ID	Первая покупка	LTV валовая прибыль	Группа любимых категорий (лк)	Всего любимых категорий (лк)	Самая любимая категория (лк)	Средний чек (пп)	Выручка (пп)	% ВП (пп)	Валовая прибыль (пп)	% редких	Класс редкости
288	1. Разовый	2. Важный	3. Забытый	Известный клиент	18.03.2022	132454	0	1	"ООО ""Вершина"" ИНН 95380017411"	CL_10191	10.10.2021	66723,23407276397	Живопись-масло-студия-Ладога ЗХК | Бумага пастель-листы-профи	2	Живопись-масло-студия-Ладога ЗХК	52590	52590	0,506	26607,49212236526	0,09259259259259259	1. Стандартный
447	5. Прекратил работу	3. Перспективный	3. Забытый	Известный клиент	10.10.2021	46300	?	?	"ООО ""Богатый магазин"" ИНН 51602701559"	CL_10201	10.10.2021	17426,1	?	?	?	?	?	?	?	1	3. Любитель экзотики
121	4. Потерянный клиент	4. Начинающий	2. Приостановленный	Известный клиент	01.09.2022	21339,799999999996	57	3	"ООО ""Максимальная схема"" ИНН 4538288571"	CL_1021	15.07.2021	9922,309071724962	Графические материалы-пастель-масляная | Живопись-гуашь-наборы | Графические материалы-маркеры-маркеры	3	Графические материалы-пастель-масляная	5898	17694	0,481	8508,17907172496	0,038461538461538464	1. Стандартный
74	2. Рабочий клиент	3. Перспективный	1. Действующий	Известный клиент	18.10.2022	43852,599999999984	73	3	"ООО ""Река"" ИНН 73129632334"	CL_10211	11.10.2021	22263,402074344624	Подрамники, рамы-Планшеты | Мольберты-Настольные | ДПИ-Направления-Ткань-краски, контуры	3	Подрамники, рамы-Планшеты	10518	31553	0,502	15832,371295319686	0,08333333333333333	1. Стандартный
83	4. Потерянный клиент	4. Начинающий	1. Действующий	Известный клиент	09.10.2022	17784,949999999997	50	2	"ООО ""Личность"" ИНН 4258651945"	CL_10221	11.10.2021	9882,204514517769	Графические материалы-тушь-тубы, банки | Основы-холст на подрамнике-Базовый	2	Графические материалы-тушь-тубы, банки	7537	15074	0,566	8526,450696228621	0	1. Стандартный
258	4. Потерянный клиент	4. Начинающий	3. Забытый	Известный клиент	17.04.2022	20698,550000000003	7	2	"АО ""Бесчисленное знание"" ИНН 9368367758"	CL_10231	11.10.2021	10516,694119976302	Основы-холст на подрамнике-Базовый | Основы-холст на подрамнике-Студенческий-Лен	2	Основы-холст на подрамнике-Базовый	5081	10162	0,528	5361,6	0,16666666666666666	2. Энтузиаст
293	1. Разовый	3. Перспективный	3. Забытый	Известный клиент	13.03.2022	48972,35	0	1	"ООО ""Поразительная слава"" ИНН 48065844493"	CL_10241	11.10.2021	24585,92923482443	ДПИ-Направления-Лепка-Пластика | Графические материалы-инструменты-ластики	2	ДПИ-Направления-Лепка-Пластика	463	463	0,521	241,00924895118513	0,4166666666666667	2. Энтузиаст
403	5. Прекратил работу	4. Начинающий	3. Забытый	Известный клиент	23.11.2021	4420,400000000001	?	?	"ООО ""Дерево"" ИНН 23837992911"	CL_10251	11.10.2021	1846,4719211707506	?	?	?	?	?	?	?	0,4	2. Энтузиаст
26	2. Рабочий клиент	3. Перспективный	1. Действующий	Известный клиент	05.12.2022	46011,15000000001	34	8	"ООО ""Основательная песня"" ИНН 82284311405"	CL_10261	11.10.2021	21506,388281599346	Подрамники, рамы-рамы-неокрашенные со стеклом | ДПИ-Направления-Батик-рамки | Живопись-Акрил студия - Ладога ЗХК банка | Бумага пастель-листы-профи	4	Подрамники, рамы-рамы-неокрашенные со стеклом	2416	19325	0,47	9086,465774510982	0,14814814814814814	2. Энтузиаст
398	5. Прекратил работу	4. Начинающий	3. Забытый	Известный клиент	28.11.2021	5398,05	?	?	"ООО ""Зеленый этаж"" ИНН 31809881077"	CL_10271	11.10.2021	2641,187176817033	?	?	?	?	?	?	?	0,1111111111111111	2. Энтузиаст
443	5. Прекратил работу	4. Начинающий	3. Забытый	Известный клиент	14.10.2021	9957,75	?	?	"ООО ""Прием"" ИНН 80107296916"	CL_10281	12.10.2021	4654,592086799123	?	?	?	?	?	?	?	0,2	2. Энтузиаст
25	2. Рабочий клиент	2. Важный	1. Действующий	Известный клиент	06.12.2022	81706,09999999998	55	5	"ООО ""Этап"" ИНН 84747303827"	CL_10291	12.10.2021	42423,31841329083	Бумага акварель-блоки-студия | Бумага пастель-блоки-профи | Живопись-акварель-наборы	3	Бумага акварель-блоки-студия	11284	56418	0,537	30311,036141315974	0,06896551724137931	1. Стандартный
124	1. Разовый	4. Начинающий	2. Приостановленный	Известный клиент	29.08.2022	18287,5	0	1	"АО ""Помощь"" ИНН 14603124541"	CL_10301	12.10.2021	9395,065025552814	Живопись-масло-студия-Oil Master Ferrario | Бумага пастель-листы-стандарт | Живопись-масло-профи-Мастер-Класс ЗХК | Бумага пастель-листы-профи | Графические материалы-чернографитовые-штуки	5	Живопись-масло-студия-Oil Master Ferrario	11752	11752	0,548	6436,090986557574	0,2	2. Энтузиаст
84	4. Потерянный клиент	4. Начинающий	1. Действующий	Известный клиент	08.10.2022	21616,399999999994	48	2	"ООО ""Форма"" ИНН 46866825651"	CL_1031	15.07.2021	10646,55567850547	Графические материалы-пастель-масляная | Графические материалы-полихромные-наборы  | Графические материалы-специальные-прочие | Кисти-Масло, Акрил- Синтетика	4	Графические материалы-пастель-масляная	2209	4418	0,387	1710,6	0,038461538461538464	1. Стандартный
203	4. Потерянный клиент	3. Перспективный	3. Забытый	Известный клиент	11.06.2022	50474,49999999999	19	6	"ООО ""Истинный рынок"" ИНН 17640651181"	CL_10311	12.10.2021	24853,29217011049	Подрамники, рамы-Подрамники | Основы-Картон грунтованный | Графические материалы-чернографитовые-штуки | ВС акрил пасты, гели, присадки для эффектов	4	Подрамники, рамы-Подрамники	4990	29940	0,508	15214,817684443351	0,05263157894736842	1. Стандартный
422	5. Прекратил работу	4. Начинающий	3. Забытый	Известный клиент	04.11.2021	5435,9	?	?	"ПАО ""Начало"" ИНН 55807584088"	CL_10321	12.10.2021	2408,97	?	?	?	?	?	?	?	0	1. Стандартный
278	1. Разовый	4. Начинающий	3. Забытый	Известный клиент	28.03.2022	7158,599999999999	0	1	"ООО ""Арктическое начало"" ИНН 79550901119"	CL_10331	12.10.2021	3175,599409457542	Графические материалы-пастель-масляная	1	Графические материалы-пастель-масляная	2837	2837	0,331	939,69	0	1. Стандартный
8	2. Рабочий клиент	2. Важный	1. Действующий	Известный клиент	23.12.2022	181448,44999999998	35	8	"ООО ""Жизненный костюм"" ИНН 94231125853"	CL_10341	12.10.2021	90103,19304893234	?	?	?	16825	134600	0,5	67243,10874730881	0,16071428571428573	2. Энтузиаст
245	4. Потерянный клиент	4. Начинающий	3. Забытый	Известный клиент	30.04.2022	15050,85	26	2	"ООО ""Искусство"" ИНН 53957209849"	CL_10351	12.10.2021	7259,719260944261	Основы-холст на подрамнике-Базовый | Основы-Картон грунтованный | Подрамники, рамы-рамы-неокрашенные без стекла | Кисти-Масло-Колонок	4	Основы-холст на подрамнике-Базовый	3754	7508	0,487	3660,0656706936857	0,125	2. Энтузиаст
288	4. Потерянный клиент	4. Начинающий	3. Забытый	Известный клиент	18.03.2022	15539,600000000002	17	2	"ООО ""Ремонт"" ИНН 9333421559"	CL_10361	12.10.2021	7277,741986887721	Живопись-масло-студия-Ладога ЗХК | Живопись-масло-профи-Мастер-Класс ЗХК | Основы-холст на картоне | ДПИ-Клей-Карандаши, липучка	4	Живопись-масло-студия-Ладога ЗХК	3206	6412	0,459	2943,644356803135	0,10526315789473684	2. Энтузиаст
328	1. Разовый	4. Начинающий	3. Забытый	Известный клиент	06.02.2022	10238,4	0	1	"ООО ""Твердое основание"" ИНН 17690617998"	CL_10371	12.10.2021	4581,389999999999	Бумага-вывод-Картон грунтованный  | Живопись-Наборы темперы | Кисти-Масло-Синтетика	3	Бумага-вывод-Картон грунтованный 	8522	8522	0,443	3774,45	0	1. Стандартный
445	5. Прекратил работу	4. Начинающий	3. Забытый	Известный клиент	12.10.2021	4883,25	?	?	"ООО ""Ювелирная вода"" ИНН 50644026040"	CL_10381	12.10.2021	2255,067275751962	?	?	?	?	?	?	?	0	1. Стандартный
194	4. Потерянный клиент	4. Начинающий	3. Забытый	Известный клиент	20.06.2022	16815	46	2	"ООО ""Субъект"" ИНН 85117280758"	CL_10391	13.10.2021	8206,159847856225	Мольберты-Лира | z-Georgian DR - студ.	2	Мольберты-Лира	7170	14340	0,49	7026,149847856224	0,3333333333333333	2. Энтузиаст
321	1. Разовый	4. Начинающий	3. Забытый	Известный клиент	13.02.2022	22100,5	0	1	"ООО ""Надежный предмет"" ИНН 530834274"	CL_10401	13.10.2021	10379,463171297279	Живопись-Акрил студия - Ладога ЗХК банка	1	Живопись-Акрил студия - Ладога ЗХК банка	276	276	0,654	180,28	0,125	2. Энтузиаст
23	2. Рабочий клиент	3. Перспективный	1. Действующий	Известный клиент	08.12.2022	31088,75	28	4	"ООО ""След"" ИНН 52574924252"	CL_1041	15.07.2021	16425,456456571806	Живопись-Акрил декоративный - Деколор Таир	1	Живопись-Акрил декоративный - Деколор Таир	7043	28172	0,525	14799,676456571804	0,14285714285714285	2. Энтузиаст
304	4. Потерянный клиент	3. Перспективный	3. Забытый	Известный клиент	02.03.2022	52465,00000000001	5	2	"ООО ""Астрономическая крыша"" ИНН 72519519701"	CL_10411	13.10.2021	24935,00797024941	Мольберты-Настольные | Живопись-акварель-наборы	2	Мольберты-Настольные	10931	21861	0,43	9401,152782392872	0,28125	2. Энтузиаст
184	4. Потерянный клиент	3. Перспективный	3. Забытый	Известный клиент	30.06.2022	30457,800000000007	8	2	"ООО ""Статус"" ИНН 76246761005"	CL_10421	13.10.2021	15896,80260114093	ДПИ-Направления-Ткань-краски, контуры | Кисти-Акварель-Колонок-Соболь	2	ДПИ-Направления-Ткань-краски, контуры	14788	29575	0,521	15418,592601140932	0	1. Стандартный
320	1. Разовый	3. Перспективный	3. Забытый	Известный клиент	14.02.2022	28113,9	0	1	"ООО ""Идея"" ИНН 46413991501"	CL_10431	13.10.2021	14695,309999999998	Основы-холст на подрамнике-Базовый | Бумага техническая-калька	2	Основы-холст на подрамнике-Базовый	5199	5199	0,556	2888,8999999999996	0,2222222222222222	2. Энтузиаст
444	5. Прекратил работу	4. Начинающий	3. Забытый	Известный клиент	13.10.2021	2284,35	?	?	"ООО ""Разговор"" ИНН 89677019282"	CL_10441	13.10.2021	1167,1318221159966	?	?	?	?	?	?	?	0	1. Стандартный
106	4. Потерянный клиент	4. Начинающий	2. Приостановленный	Известный клиент	16.09.2022	5271	73	3	"ООО ""Поезд"" ИНН 37644185694"	CL_10451	13.10.2021	2560,0200000000004	Живопись-Акрил аэрозоль Ferrario Artist's | Графические материалы-чернографитовые-механические/цанговые | ДПИ-Направления-Ткань-краски, контуры	3	Живопись-Акрил аэрозоль Ferrario Artist's	732	2196	0,476	1044,59	0	1. Стандартный
87	4. Потерянный клиент	4. Начинающий	1. Действующий	Известный клиент	05.10.2022	22999,5	12	3	"ООО ""Книга"" ИНН 41977305553"	CL_10461	13.10.2021	10725,589276070654	Бумага-Картон-для паспарту | Бумага дизайнерская-крепированная, рулоны | Черчение-Угольники	3	Бумага-Картон-для паспарту	6488	19466	0,477	9285,769276070658	0	1. Стандартный
444	5. Прекратил работу	4. Начинающий	3. Забытый	Известный клиент	13.10.2021	20400	?	?	"ООО ""Город"" ИНН 79402390640"	CL_10471	13.10.2021	9613,04	?	?	?	?	?	?	?	0	1. Стандартный
444	5. Прекратил работу	3. Перспективный	3. Забытый	Известный клиент	13.10.2021	49575	?	?	"ООО ""Компания"" ИНН 24104361279"	CL_10481	13.10.2021	26686,611005985083	?	?	?	?	?	?	?	1	3. Любитель экзотики
2	2. Рабочий клиент	4. Начинающий	1. Действующий	Известный клиент	29.12.2022	16876,8	52	6	"ООО ""Крупное зрение"" ИНН 30625132427"	CL_10491	14.10.2021	9718,873918679852	Графические материалы-акварельные-наборы | Бумага акварель-блоки-студия	2	Графические материалы-акварельные-наборы	2624	15746	0,581	9154,954845858594	0	1. Стандартный
27	2. Рабочий клиент	2. Важный	1. Действующий	Известный клиент	04.12.2022	166822,34999999998	30	9	"ООО ""Отличное утро"" ИНН 76283905599"	CL_10501	14.10.2021	94249,14154943511	Литература-я Вывод/снято с производства	1	Литература-я Вывод/снято с производства	15758	141819	0,574	81383,0420381132	0,19298245614035087	2. Энтузиаст
4	2. Рабочий клиент	1. VIP	1. Действующий	Известный клиент	27.12.2022	263187,1	10	31	"ПАО ""Настоящая реформа"" ИНН 24946103725"	CL_1051	15.07.2021	135450,6808525232	Мольберты-Этюдники	1	Мольберты-Этюдники	7974	247208	0,515	127233,60799476843	0,0967741935483871	1. Стандартный
214	4. Потерянный клиент	4. Начинающий	3. Забытый	Известный клиент	31.05.2022	17845,75	18	3	"ООО ""Участие"" ИНН 63397768927"	CL_10511	14.10.2021	7777,408797636577	Основы-холст на подрамнике-Базовый | Живопись-Акрил студия - Ладога ЗХК банка	2	Основы-холст на подрамнике-Базовый	4554	13661	0,433	5917,4587976365765	0,16666666666666666	2. Энтузиаст
197	4. Потерянный клиент	4. Начинающий	3. Забытый	Известный клиент	17.06.2022	6188,599999999999	44	3	"ООО ""Голос"" ИНН 79913712897"	CL_10521	14.10.2021	3454,58	Сумки-Чехлы для подрамников | Бумага акварель-листы-студия | Живопись-акварель-тубы/кюветы	3	Сумки-Чехлы для подрамников	1584	4753	0,564	2682,45	0	1. Стандартный
206	4. Потерянный клиент	3. Перспективный	3. Забытый	Известный клиент	08.06.2022	71953,5	12	2	"ООО ""Непобедимая величина"" ИНН 71403990015"	CL_10531	14.10.2021	35377,51155979891	Подрамники, рамы-Планшеты	1	Подрамники, рамы-Планшеты	32381	64762	0,49	31738,893574866655	0,2962962962962963	2. Энтузиаст
52	3. Теряемый клиент	3. Перспективный	1. Действующий	Известный клиент	09.11.2022	45790,600000000006	39	5	"ООО ""Богатырский самолет"" ИНН 74842078010"	CL_10541	14.10.2021	22842,986116868407	Подрамники, рамы-Планшеты | Кисти-Масло-Синтетика | Живопись-Акрил студия - Ладога ЗХК банка	3	Подрамники, рамы-Планшеты	5649	28244	0,443	12520,656116868404	0,045454545454545456	1. Стандартный
64	2. Рабочий клиент	4. Начинающий	1. Действующий	Известный клиент	28.10.2022	6336,55	74	3	"АО ""Космическое действие"" ИНН 6547015603"	CL_10551	15.10.2021	2944,7670375713083	Кисти-Специальные-Синтетика | Инструменты-макетирование-Ножи- стандартные | Живопись-масло-студия-Студия Гамма	3	Кисти-Специальные-Синтетика	1792	5376	0,463	2488,0870375713084	0	1. Стандартный
407	5. Прекратил работу	4. Начинающий	3. Забытый	Известный клиент	19.11.2021	5975,2	?	?	"ООО ""Фантастический дом"" ИНН 57326469708"	CL_10561	15.10.2021	3102,9633801658656	?	?	?	?	?	?	?	0	1. Стандартный
295	4. Потерянный клиент	4. Начинающий	3. Забытый	Известный клиент	11.03.2022	7298,250000000001	6	2	"ООО ""Подлинное условие"" ИНН 86894569902"	CL_10571	15.10.2021	3444,6925591168388	ДПИ-Направления-Батик-рамки | z-Нет поставок больше 6-ти месяцев | ДПИ-Направления-Ткань-краски, контуры | Кисти-Универсальные-Пони	4	ДПИ-Направления-Батик-рамки	1678	3355	0,525	1761,3799999999999	0,13333333333333333	2. Энтузиаст
3	2. Рабочий клиент	3. Перспективный	1. Действующий	Известный клиент	28.12.2022	55151,799999999996	59	5	"ООО ""Незаурядный ресурс"" ИНН 38793609289"	CL_10581	15.10.2021	27418,93736360408	Графические материалы-полихромные-штуки | Графические материалы-акварельные-штуки | Графические материалы-пастельные карандаши-наборы | Графические материалы-полихромные-наборы 	4	Графические материалы-полихромные-штуки	8126	40630	0,492	19992,70585915827	0,09090909090909091	1. Стандартный
58	4. Потерянный клиент	4. Начинающий	1. Действующий	Известный клиент	03.11.2022	16725,3	37	7	"ООО ""Труд"" ИНН 82913518964"	CL_10591	15.10.2021	8004,156870726812	Сумки-на молнии ткань/кожа | Графические материалы-пастель-сухая | Бумага техническая-листы	3	Сумки-на молнии ткань/кожа	2033	14230	0,487	6926,809999999999	0	1. Стандартный
324	1. Разовый	4. Начинающий	3. Забытый	Известный клиент	10.02.2022	9739,4	0	1	"ООО ""Бесценная проблема"" ИНН 61169529789"	CL_10601	15.10.2021	4890,08691787292	Живопись-масло-профи-Мастер-Класс ЗХК	1	Живопись-масло-профи-Мастер-Класс ЗХК	1240	1240	0,483	598,75	0	1. Стандартный
117	4. Потерянный клиент	2. Важный	2. Приостановленный	Известный клиент	05.09.2022	103889,64999999992	20	9	"АО ""Дом"" ИНН 58758149617"	CL_1061	15.07.2021	54796,27735810473	Живопись-Акрил студия - художественный  ГлянцевыйГамма европодвес | Живопись-темпера-ПВА ЗХК | Бумага-Картон-пенокартон	3	Живопись-Акрил студия - художественный  ГлянцевыйГамма европодвес	8154	73384	0,548	40218,82640771242	0,08823529411764706	1. Стандартный
41	2. Рабочий клиент	4. Начинающий	1. Действующий	Известный клиент	20.11.2022	8346,75	57	4	"ООО ""Песня"" ИНН 30534398082"	CL_10611	15.10.2021	4424,194500074575	Кисти-Акварель-Синтетика | Графические материалы-чернографитовые-механические/цанговые | Инструменты-макетирование-Ножи- стандартные | Графические материалы-инструменты-ластики	4	Кисти-Акварель-Синтетика	1093	4371	0,526	2300,5710411381156	0,09090909090909091	1. Стандартный
23	2. Рабочий клиент	3. Перспективный	1. Действующий	Известный клиент	08.12.2022	47607,4	40	5	"ООО ""Час"" ИНН 76558307330"	CL_10621	15.10.2021	23416,121776803022	Кисти-Масло-Синтетика	1	Кисти-Масло-Синтетика	8868	44339	0,493	21876,10636188438	0,08333333333333333	1. Стандартный
53	3. Теряемый клиент	4. Начинающий	1. Действующий	Известный клиент	08.11.2022	9229,25	41	2	"АО ""Граница"" ИНН 36588085707"	CL_10631	15.10.2021	5138,53	Золочение и реставрация-патинирование, краска  | ВС золочение основные, клей | Живопись-Акрил студия - художественный  ГлянцевыйГамма европодвес | Кисти-Масло-Синтетика	4	Золочение и реставрация-патинирование, краска 	2586	5173	0,532	2753,9199999999996	0	1. Стандартный
393	5. Прекратил работу	1. VIP	3. Забытый	Известный клиент	03.12.2021	354000	?	?	"ООО ""Игра"" ИНН 73764996816"	CL_10641	15.10.2021	179813,96000000002	?	?	?	?	?	?	?	1	3. Любитель экзотики
282	4. Потерянный клиент	4. Начинающий	3. Забытый	Известный клиент	24.03.2022	16852,25	23	2	"ООО ""Редкий вид"" ИНН 64416189630"	CL_10651	16.10.2021	8299,200128863995	Живопись-Масло-Наборы-Студия | Живопись-масло-студия-Студия Гамма | Основы-холст на подрамнике-Базовый | Кисти-Акварель-Синтетика	4	Живопись-Масло-Наборы-Студия	6194	12388	0,478	5918,638105092073	0	1. Стандартный
6	2. Рабочий клиент	1. VIP	1. Действующий	Известный клиент	25.12.2022	275560,45000000007	12	26	"АО ""Бурная трава"" ИНН 97892907130"	CL_10661	16.10.2021	131823,61937110493	Основы-холст на подрамнике-Базовый	1	Основы-холст на подрамнике-Базовый	8770	228019	0,47	107146,89714063918	0,12	2. Энтузиаст
